Paper ID,Title,RQ2 (Privacy Goal),RQ2-Other,RQ3 (Type of contribution),RQ3-Other,RQ4-ISO/IEC 29100,RQ4-PbD Cavoukian,RQ4-Other,RQ5 (Application Domains),RQ5-Other,RQ6 (Open Issues),SE Knowledge Area,Type of Paper,Type of validation,Paper focus/goal,Cited Privacy Regulation,Publication Type,Year,Authors,Database
22,Motivating information system engineers’ acceptance of Privacy by Design in China: An extended UTAUT model,NA,,Practice,,NA,NA,,NA,,"Future research could examine the influence of privacy policies eleva­tions on PbD implementation, such as developing a longitudinal research to explore the impact of the General Data Protection Regulation; - future research could integrate more methods of investigation beyond the questionnaire in order to reduce the influence of deviation on results (GDPR) on PbD implementation; -conduct the questionnaire in countries other than China.",Process,Philosophical,Survey (interviews),Proposes a UTAUT-based integrated model from the perspective of information system engineers.,GDPR,journalArticle,2021,"Bu, F.; Wang, N.; Jiang, B.; Jiang, Q.",Scopus
32,PDP-ReqLite: A Lightweight Approach for the Elicitation of Privacy and Data Protection Requirements,NA,,Method,,NA,NA,,NA,,"Improve the automation of GDPR texts processing during the creation of meta-requirements since this task is for now human-based and highly time consuming; - To consolidate the approach, other  privacy regulations can be targeted; - Since the PDP-ReqLite method is positioned within a development life cycle, the interfaces with other cycle phases, like design, still need to be developed and consolidated",Requirements,Proposal,Example,Introduces a lightweight method for the elicitation of privacy and data protection requirements.,GDPR,bookChapter,2020,"Ferreyra, N.E.D.; Tessier, P.; Pedroza, G.; Heisel, M.",Scopus
16,Privacy by Evidence: A Methodology to develop privacy-friendly software applications,NA,,Method,,NA,NA,,NA,,Conduct a quantitative experiment with a set development teams using PbE and another set of teams not using PbE,Process,Philosophical,Case study,Proposes Privacy by Evidence – a methodology that guides the implementation of privacy concepts in applications.,GDPR,journalArticle,2020,"Barbosa, P.; Brito, A.; Almeida, H.",Scopus
75,"Privacy champions in software teams: Understanding their motivations, strategies, and challenges",NA,,Practice,,NA,NA,,NA,,"Quantify the prevalence of identifed challenges to adoption of privacy practices in organisations, evaluate the efectiveness of strategies, develop robust and standardised taxonomies of privacy risks, detailed practical guidelines and privacy engineering recommendations on how to technically address privacy issues, explore the reasons why existing privacy metrics are not widely adopted in software development industry, and propose solutions to those issues",General,Evaluation,Survey (interviews),Investigates how Privacy Champions work to improve their organisation’s privacy approaches and improve the privacy of end-user products.,GDPR,conferencePaper,2021,"Tahaei, M.; Frik, A.; Vaniea, K.",Scopus
80,Privacy in Software Ecosystems - An Initial Analysis of Data Protection Roles and Challenges,NA,,Introductory,,NA,NA,,NA,,"In future work, we will explore the presented challenges by considering different types of software ecosystems;  insert recommendations from related research on security in ecosystems, providing guidance for ecosystem actors on how to address these challenges; deﬁne and validate privacy requirements and associated graphical schemes binding GDPR privacy entities to ecosystem elements.",General,Philosophical,No data,Presents an analysis of data protection roles in a software ecosystem together with a set of challenges for data protection to platform companies.,GDPR,conferencePaper,2020,"Valenca, G.; Kneuper, R.; Rebelo, M.E.",Scopus
38,Proposal of a privacy knowledge base for supporting development of privacy friendly software,NA,,Model,,NA,NA,,NA,,"In the future, the author would like to develop a knowledge base management system implementing these functions",Process,Proposal,Example,Presents a body of knowledge for development of privacy friendly software.,None,conferencePaper,2020,"Hazeyama, A.",Scopus
33,Requirement and Quality Models for Privacy Dashboards,NA,,Model,,NA,NA,,NA,,We plan to additionally investigate our models in additional case studies and domains.,Requirements,Proposal,Example,Presents generic requirement and quality models that build a common baseline when developing privacy dashboards for different domains.,GDPR,conferencePaper,2020,"Feth, D.; Schmitt, H.",Scopus
45,Security-Driven Information Flow Modelling for Component Integration in Complex Environments,NA,,Model,,NA,NA,,NA,,Future work in regards to this approach will be part of the CS-AWARE project and further provide insight on the quality of the presented conceptual modelling of information flows in complex systems,Design,Philosophical,Example,Presents a conceptual model of the information flow of a complex system that provides a detailed  basis for software adaptation and integration.,GDPR,conferencePaper,2018,"Kupfersberger, Veronika; Schaberreiter, Thomas; Quirchmayr, Gerald",ACM
44,Short Paper: Integrating the Data Protection Impact Assessment into the Software Development Lifecycle,NA,,Model,,NA,NA,,NA,,"The next steps are the development and evaluation of the proof of concept PASDLC which will expand into the creation of an engineering privacy toolbox which is both compatible and promotes the use of privacy standards, practices and technologies",Process,Proposal,Example,Proposes a Privacy-Aware SDLC (PASDLC) that combines the DPIA Lifecycle 1 with the SDLC,GDPR,bookChapter,2020,"Irvine, C.; Balasubramaniam, D.; Henderson, T.",Scopus
34,The Odyssey: Modeling Privacy Threats in a Brave New World,NA,,Introductory,,NA,NA,,NA,,Not informed/discussed,Process,Philosophical,No data,Explores the challenges and the opportunities introduced to Privacy Threat Modeling by the combination of Agile methodologies and service-oriented architectures,GDPR,conferencePaper,2018,"Galvez, Rafa; Gurses, Seda",IEEE
62,Threat Poker: Solving Security and Privacy Threats in Agile Software Development,NA,,Method,,NA,NA,,NA,,Not informed/discussed,Process,Proposal,Example,"Describes Threat Poker as a team-based method to be exercised during agile software development for assessing both security risk and privacy risk, and for evaluating the effort needed to remove corresponding vulnerabilities in the developed software",GDPR,bookChapter,2018,"Rygge, H.; Jøsang, A.",Scopus
15,Integrating security and privacy in software development,NA,,Method,,,,Resilience to attackers (software security); Compliance to regulation,NA,,Validate the POSD approach in forward mode on systems to develop; improve the PKB effectiveness by adding further knowledge (Remediation Patterns and Privacy Patterns); and increase the number of supported programming languages.,Process,Proposal,Example,"Proposes an approach named Privacy Oriented Software Development (POSD) for addressing privacy and security problems in software system, using a Privacy Knowledge Base.",GDPR,journalArticle,2020,"Baldassarre, M.T.; Barletta, V.S.; Caivano, D.; Scalera, M.",Scopus
63,Towards Privacy Framework in Software Development Projects and Applications: An Integrated Framework,NA,,Model,,NA,NA,,NA,,Not informed/discussed,Process,Proposal,Example,Proposes an integrated framework based on people-process-technology triad,GDPR,conferencePaper,2019,"Sakul-Ung, P.; Smanchat, S.",Scopus
54,Towards the design of usable privacy by design methodologies,NA,,Introductory,,NA,NA,,NA,,Not informed/discussed,Process,Philosophical,Not apply,Identifies the set of usability criteria presented in the respective literature and examine how the existing privacy requirement engineering methodologies conform with these usability criteria,None,conferencePaper,2018,"Pattakou, A.; Mavroeidi, A.-G.; Kalloniatis, C.; Diamantopoulou, V.; Gritzalis, S.",Scopus
65,Towards Transparency-Encouraging Partial Software Disclosure to Enable Trust in Data Usage,NA,,Introductory,,NA,NA,,NA,,Not informed/discussed,General,Philosophical,Not apply,Discusses how to achieve transparency in software components,GDPR,conferencePaper,2020,"Schindler, C.",Scopus
64,Towards Variability-Aware Legal-GRL Framework for Modeling Compliance Requirements,NA,,Model,,NA,NA,,NA,,Not informed/discussed,Process,Proposal,No data,"Proposes a framework called Variability-Aware Legal-GRL, which is based on the Goal-oriented Requirements Language (GRL).",Others,conferencePaper,2020,"Sartoli, S.; Ghanavati, S.; Siami Namin, A.",Scopus
66,Why developers cannot embed privacy into software systems?: An empirical investigation,NA,,Practice,,,Privacy Embedded into Design,,Healthcare,,More studies to formally evaluate developers' engagement and experience with existing privacy practices and identify personal opinions of developers that could affect their decisions in embedding privacy into software applications,General,Evaluation,Survey (interviews),Recommends guidelines to address the problems to enable the development of privacy preserving software systems,Others,conferencePaper,2018,"Senarath, A.; Arachchilage, N.A.G.",Scopus
43,Process and tool support for integration of privacy aspects in agile software engineering,NA,,Tool,,NA,NA,,NA,,Not informed/discussed,General,Proposal,Proof-of-concept,Proposes an approach for integrating privacy aspects in agile methods and outlines a prototype as tool support for this approach,GDPR,conferencePaper,2020,"Huth, D.; Both, A.; Ahmad, J.; Sauer, G.; Yilmaz, F.; Matthes, F.",Scopus
86,A practical approach to stakeholder-driven determination of security requirements based on the GDPR and common criteria,NA,,Method,,,,Compliance to regulation,NA,,Not informed/discussed,Requirements,Proposal,Example,Presents a list of detailed security requirements that – once implemented – make a software product GDPR-compliant and partially prepared for a CC evaluation.,GDPR,conferencePaper,2020,"Zinsmaier, S.D.; Langweg, H.; Waldvogel, M.",Scopus
67,A data minimization model for embedding privacy into software systems,minimize,,Model,,NA,NA,,NA,,"Deploying the methodology in an organizational environment and evaluating its acceptance, and reasons for acceptance, would further enhance the methodology and its applicability in different environments",Design,Proposal,multi-method study,Propose and evaluate a methodology that enables developers to make their decisions to minimize user data in software systems through understanding data,GDPR,journalArticle,2020,"Senarath, Awanthika; Arachchilage, Nalin Asanka Gamagedara",Science Direct
68,A model for system developers to measure the privacy risk of data,minimize,Visibility  (unobservability and undetectability),Model,,NA,NA,,NA,,"As future work, we aim to improve our study with privacy profiling of participants incorporating the models that capture psychometric measurements [11, 27, 28], in order to observe how our model could cater for users with different privacy personalities",Design,Proposal,Survey (interviews),Propose a model that could be used by system developers to measure the privacy risk perceived by users when they disclose data into software systems,GDPR,conferencePaper,2018,"Senarath, Awanthika; Grobler, Marthie; Arachchilage, Nalin Asanka Gamagedara",Scopus
26,An exploratory experiment on privacy patterns: limitations and possibilities,NA,,Pattern,,NA,NA,,Healthcare,,"Solve the limitation of the experiments constrained to qualitative evaluations on both the design product and the developers, in order to carry out mor exhaustive experiments",Design,Evaluation,Experiment,Describes initial steps in the empirical evaluation of the application of privacy patterns during the design activity,Others,conferencePaper,2021,"Caiza, Julio C.; Alamo, Jose M. Del; Guamán, Danny S.; Jaramillo-Alcázar, Ángel",ACM
46,Continuous requirements: An example using gdpr,NA,,Tool,,,,Compliance to regulation,NA,,More work is necessary to investigate our initial findings,Process,Proposal,multi-method study,"Highlights their study on how an organization deals with the GDPR, NFRs, and CI in practice.",GDPR,conferencePaper,2019,"Li, Ze Shi; Werner, Colin; Ernst, Neil",IEEE
57,Envisioning Tool Support for Designing Privacy-Aware Internet of Thing Applications,NA,,Tool,,,,,Other,IoT,To develop such tool,Design,Proposal,Example,Envisions a graphical tool to be used by engineers to design IoT appplications compliant with leading laws and regulations,GDPR,journalArticle,2021,"Perera, Charith; Barhamgi, Mahmoud; Vecchio, Massimo",IEEE
11,P-STORE: Extension of STORE Methodology to Elicit Privacy Requirements,NA,,Method,,NA,NA,,NA,,The next move is to implement it on real time projects for the extensive use in the industry.,Requirements,Proposal,Example,Studies the endeavors to integrate the standards of data protection along with the Security Threat Oriented Requirements Engineering (STORE) methodology in order to recognize the potential threats to privacy requirements.,GDPR,journalArticle,2021,"Ansari, Md Tarique Jamal; Baz, Abdullah; Alhakami, Hosam; Alhakami, Wajdi; Kumar, Rajeev; Khan, Raees Ahmad",SpringerLink
9,"Privacy by Design in Aged Care Monitoring Devices? Well, Not Quite Yet!",NA,,Practice,,NA,NA,,Other,ACMD,UX and HCI practitioners urgently need methods that balance privacy and usability but are also congruent with development practice,General,Evaluation,Survey (interviews),Aims to identify the factors that afect how developers understand and address privacy when creating ACMDs (Aged Care Monitoring Devices).,GDPR,conferencePaper,2020,"Alkhatib, Sami; Waycott, Jenny; Buchanan, George; Grobler, Marthie; Wang, Shuo",ACM
72,Privacy Risk Assessment for Data Subject-Aware Threat Modeling,NA,,Model,,,,Compliance to regulation,NA,,"In future work, we intend to model the causality of these (and potentially other underlying) factors, to evaluate whether a different and independent set of risk factors can be constructed to improve the precision of the risk assessment without sacriﬁcing usability in the number of required inputs",Design,Proposal,Proof-of-concept,Presents a data subject-aware privacy risk assessment model in speciﬁc support of privacy threat modeling activities,GDPR,conferencePaper,2019,"Sion, Laurens; Van Landuyt, Dimitri; Wuyts, Kim; Joosen, Wouter",IEEE
3,Privacy-enhanced system design modeling based on privacy features,NA,,Model,,NA,NA,,NA,,Not informed/discussed,Design,Proposal,Example,Proposes a methodology for enhancing system models with privacy controls to mitigate privacy violations during the design of a software system,GDPR,conferencePaper,2019,"Ahmadian, Amir Shayan; Strüber, Daniel; Jürjens, Jan",ACM
4,Land of the lost: privacy patterns' forgotten properties: enhancing selection-support for privacy patterns,NA,,Pattern,,NA,NA,,NA,,The next challenge is determining how the properties defined for privacy patterns can be applied together with the context in the selection procedure.,General,Proposal,Example,"Analyzes a total of 70 privacy patterns, and present them in a multidimensional space in which each dimension takes a set of values that determine the properties of the patterns",GDPR,conferencePaper,2021,"Al-Momani, Ala'a; Wuyts, Kim; Sion, Laurens; Kargl, Frank; Joosen, Wouter; Erb, Benjamin; Bösch, Christoph",ACM
19,GDPR-based user stories in the access control perspective,NA,,Method,,NA,NA,,NA,,"As a future work, we are planning to consider the GDPR requirements referring access control mechanisms, i.e., requirements from the architectural point of view. Future work includes also the validation of the User Stories by diﬀerent Agile development teams in the context of an ongoing European project that addresses key regulations such as the GDPR",Process,Proposal,Example,Presents an Agile methodology to gather access control requirements from the GDPR by using the concept of User Stories,GDPR,conferencePaper,2019,"Bartolini, Cesare; Daoudagh, Said; Lenzini, Gabriele; Marchetti, Eda",SpringerLink
73,Privacy Enabled Software Architecture,NA,,Model,,NA,NA,,NA,,"To implement the Data Governance Service and User Personal Data Access Service, described in Sect. 5 as a publicly available cloud service. This way the notion of Privacy as a Service could be provided. Another important direction for further work is to conduct more real-case experiments and comparative evaluation, in order to properly validate the privacy approach presented here",General,Proposal,Example,Proposes an approach at architectural level to provide privacy in service-oriented software systems,GDPR,conferencePaper,2021,"Stefanova, Emilia; Dimov, Aleksandar",SpringerLink
48,"Data, data, everywhere: quantifying software developers’ privacy attitudes","consent, minimize",,Practice,,NA,NA,,NA,,"The data monetization factor so far consists of a single measure, which, while possible to extend to a multi-item measure in future work",General,Proposal,Survey (interviews),Presents the development of a scale to measure software developers’ attitudes towards how they handle personal data in the software they develop,GDPR,conferencePaper,2019,"Linden, Dirk van der; Hadar, Irit; Edwards, Matthew; Rashid, Awais",SpringerLink
8,Synthesising Privacy by Design Knowledge Toward Explainable Internet of Things Application Designing in Healthcare,NA,,Tool,,,,All ISO 29100 principles,Other,IoT,"Challenges that must be addressed to develop an intelligent privacy assistant: explainable privacy assistant, developing a quarriable unified PbD Knowledge-base/ontology, capturing the context awareness, mediating lawyer-developer communication, privacy patterns development methodology, quantifying the value of privacy patterns, visualizing privacy",Design,Proposal,Example,Identifies the research challenges that must be addressed if one wishes to construct an intelligent privacy assistant that can truly augment software developers’capabilities at the design phase.,GDPR,journalArticle,2021,"Alkhariji, Lamya; Alhirabi, Nada; Alraja, Mansour Naser; Barhamgi, Mahmoud; Rana, Omer; Perera, Charith",ACM
10,Transforming Data Flow Diagrams for Privacy Compliance.,NA,,Tool,,NA,NA,,NA,,Our next step is to implement an algorithm to automatically synthesise a template from the PA-DFD in Java or Python.,General,Proposal,Example,Provides an explicit algorithm and a proof-of-concept implementation to transform DFDs into so-called Privacy-Aware Data Flow Diagrams (PA-DFDs),GDPR,conferencePaper,2021,"Alshareef, Hanaa; Stucki, Sandro; Schneider, Gerardo",ScitePress
69,Will They Use It or Not? Investigating Software Developers’ Intention to Follow Privacy Engineering Methodologies,NA,,Practice,,NA,NA,,NA,,Future studies with different PEMs with different relative complexities could help interpret how the perceived complexity of a PEM affects developers’ intention to follow the PEM at work,General,Evaluation,Survey (interviews),Empirically investigate the intention of developers to use Privacy Enhancing Methodologies,Others,journalArticle,2019,"Senarath, Awanthika; Grobler, Marthie; Arachchilage, Nalin Asanka Gamagedara",ACM
12,A Methodology for Assuring Privacy by Design in Information Systems,NA,,Model,,,,Compliance to regulation,NA,,Not informed/discussed,General,Proposal,Example,"Proposes a methodology called ISPM ""Information System Privacy Methodology"" which aims PbD implementation in IS",GDPR,journalArticle,2020,"Arfaoui, S.; Mezrioui, A.; BelmekkI, A.",Scopus
39,"The General Data Protection Regulation: Requirements, Architectures, and Constraints",NA,,Model,,,,Compliance to regulation,NA,,"Very little has been written about design patterns for privacy and data protection, or about ""privacy smells"" and related topics; Further research is required for developing new innovative testing and auditing techniques",Requirements,Proposal,Example,"Approaches constraints, requirements, and software architectures for software development in SMEs to address GDPR’s main implications.",GDPR,conferencePaper,2019,"K. Hjerppe, J. Ruohonen, V. Leppänen",IEEE
40,Annotation-Based Static Analysis for Personal Data Protection,NA,,Tool,,NA,NA,,NA,,Not informed/discussed,Construction,Proposal,Example,Proposes a design of annotating classes and functions that process personal data,GDPR,conferencePaper,2020,"Hjerppe, Kalle; Ruohonen, Jukka; Leppänen, Ville",SpringerLink
77,Enterprise Architecture Patterns for GDPR Compliance,NA,,Pattern,,,,Compliance to regulation,NA,,Add other patterns to the library; an interface could be created to show the collection of the use cases and patterns in a more dynamic way,Design,Proposal,Example,Proposes a library of enterprise architecture patterns to achieve GDPR compliance ,GDPR,conferencePaper,2021,"Teixeira, Carla; Vasconcelos, Andre; Souza, Pedro; Marques, Ma. João",ScitePress
74,Deciding on Personalized Ads: Nudging Developers About User Privacy,NA,,Practice,,NA,NA,,Other,Ads Network,They hypothesize that developers may not fully understand the differences between contextual and behavioral targeting and associated privacy implications; future work is called to explore this hypothesis,General,Proposal,Between-subject user study,Aim to understand how choice framing in ad networks effects developers’ decision making. Their findings suggest that developers are impacted by interfaces and need transparent options.,GDPR,conferencePaper,2021,Mohammad Tahaei; Alisa Frik; Kami Vaniea,Usenix
41,Extracting LPL privacy policy purposes from annotated web service source code,NA,,Model,,NA,NA,,NA,,"Integrate LPL (or another related language) to the OpenAPI standard (or a similar specification), and generate the corresponding documents automatically; A more comprehensive study of theory around what constitutes a ""good"" arrangement of Purposes to web services.",Process,Proposal,Case study,"Extends the LPL, as a way to formalize a model describing personal data processing in web services",GDPR,journalArticle,2022,"Hjerppe, Kalle; Ruohonen, Jukka; Leppanen, Ville",IEEE
55,"PADRES: Tool for PrivAcy, Data REgulation and Security",NA,,Tool,,NA,NA,Compliance to GDPR in general,NA,,Software extension - to study the tool to explore the best way to integrate such a tool either via a tools API (if it has one) or through its command line interface and output formats,Configuration ,Proposal,Case study,"A tool for PrivAcy, Data REgulation and Security was developed to analyse web applications and help in the compliance process.",GDPR,journalArticle,2022,"Pereira, Fabio; Paul, Croker; Leithardt, Valderi R.Q.",Elsevier
